trial, train examples, distance metric, transformation, k, accuracy
2, 1000, Euclidian distance inside weighted, offset=1.4, Downscale 12x12, 1, 0.63
2, 1000, Euclidian distance inside weighted, offset=1.6, Downscale 12x12, 1, 0.64
2, 1000, Euclidian distance inside weighted, offset=1.8, Downscale 12x12, 1, 0.64
2, 1000, Euclidian distance inside weighted, offset=2.0, Downscale 12x12, 1, 0.64
2, 1000, Euclidian distance inside weighted, offset=2.2, Downscale 12x12, 1, 0.61
2, 1000, Euclidian distance inside weighted, offset=2.4, Downscale 12x12, 1, 0.62
2, 1000, Euclidian distance inside weighted, offset=2.6, Downscale 12x12, 1, 0.64
2, 1000, Euclidian distance inside weighted, offset=2.8, Downscale 12x12, 1, 0.64
2, 1000, Euclidian distance inside weighted, offset=3, Downscale 12x12, 1, 0.64
3, 1000, Euclidian distance inside weighted, offset=0, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=0.2, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=0.4, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=0.6, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=0.8, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=1, Downscale 12x12, 1, 0.05
3, 1000, Euclidian distance inside weighted, offset=1.2, Downscale 12x12, 1, 0.45
3, 1000, Euclidian distance inside weighted, offset=1.4, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance inside weighted, offset=1.6, Downscale 12x12, 1, 0.58
3, 1000, Euclidian distance inside weighted, offset=1.8, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance inside weighted, offset=2.0, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance inside weighted, offset=2.2, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance inside weighted, offset=2.4, Downscale 12x12, 1, 0.6
3, 1000, Euclidian distance inside weighted, offset=2.6, Downscale 12x12, 1, 0.58
3, 1000, Euclidian distance inside weighted, offset=2.8, Downscale 12x12, 1, 0.57
3, 1000, Euclidian distance inside weighted, offset=3, Downscale 12x12, 1, 0.57

1, 10000, Minkowski3, None, 1, 0.71
1, 10000, Minkowski4, None, 1, 0.71
1, 10000, Minkowski5, None, 1, 0.73
2, 10000, Minkowski3, None, 1, 0.79
2, 10000, Minkowski4, None, 1, 0.78
2, 10000, Minkowski5, None, 1, 0.79
3, 10000, Minkowski3, None, 1, 0.78
3, 10000, Minkowski4, None, 1, 0.78
3, 10000, Minkowski5, None, 1, 0.77
1, 10000, Minkowski3, Downscale 12x12, 1, 0.71
1, 10000, Minkowski4, Downscale 12x12, 1, 0.73
1, 10000, Minkowski5, Downscale 12x12, 1, 0.71
2, 10000, Minkowski3, Downscale 12x12, 1, 0.8
2, 10000, Minkowski4, Downscale 12x12, 1, 0.8
2, 10000, Minkowski5, Downscale 12x12, 1, 0.78
3, 10000, Minkowski3, Downscale 12x12, 1, 0.81
3, 10000, Minkowski4, Downscale 12x12, 1, 0.82
3, 10000, Minkowski5, Downscale 12x12, 1, 0.82
1, 10000, Minkowski3, Downscale 8x8, 1, 0.69
1, 10000, Minkowski4, Downscale 8x8, 1, 0.72
1, 10000, Minkowski5, Downscale 8x8, 1, 0.72
2, 10000, Minkowski3, Downscale 8x8, 1, 0.79
2, 10000, Minkowski4, Downscale 8x8, 1, 0.8
2, 10000, Minkowski5, Downscale 8x8, 1, 0.81
3, 10000, Minkowski3, Downscale 8x8, 1, 0.81
3, 10000, Minkowski4, Downscale 8x8, 1, 0.82
3, 10000, Minkowski5, Downscale 8x8, 1, 0.81


1, 2000, Euclidian distance, Downscale 12x12, 1, 0.61
1, 2000, Euclidian distance, Downscale 12x12 MAX, 1, 0.58
1, 2000, Euclidian distance, Downscale 12x12 MIN, 1, 0.36
1, 2000, Euclidian distance, Downscale 12x12 and trim whitespace, 1, 0.63
1, 2000, Euclidian distance, Image Gradient 8X8, 1, 0.37
2, 2000, Euclidian distance, Downscale 12x12, 1, 0.72
2, 2000, Euclidian distance, Downscale 12x12 MAX, 1, 0.75
2, 2000, Euclidian distance, Downscale 12x12 MIN, 1, 0.53
2, 2000, Euclidian distance, Downscale 12x12 and trim whitespace, 1, 0.75
2, 2000, Euclidian distance, Image Gradient 8X8, 1, 0.5
3, 2000, Euclidian distance, Downscale 12x12, 1, 0.67
3, 2000, Euclidian distance, Downscale 12x12 MAX, 1, 0.69
3, 2000, Euclidian distance, Downscale 12x12 MIN, 1, 0.51
3, 2000, Euclidian distance, Downscale 12x12 and trim whitespace, 1, 0.65
3, 2000, Euclidian distance, Image Gradient 8X8, 1, 0.41
